feature,importance,fold
CC_AMT_DRAWINGS_CURRENT_MIN,0,6
PREV_CODE_REJECT_REASON_VERIF_MEAN,0,6
PREV_CODE_REJECT_REASON_SYSTEM_MEAN,0,6
CC_AMT_DRAWINGS_CURRENT_SUM,0,6
CC_AMT_DRAWINGS_OTHER_CURRENT_MAX,0,6
CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,0,6
CC_AMT_DRAWINGS_OTHER_CURRENT_MIN,0,6
PREV_CODE_REJECT_REASON_CLIENT_MEAN,0,6
CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,0,6
PREV_NAME_GOODS_CATEGORY_Photo / Cinema Equipment_MEAN,0,6
BURO_STATUS_3_MEAN_MEAN,0,6
PREV_NAME_GOODS_CATEGORY_Sport and Leisure_MEAN,0,6
BASEMENTAREA_AVG,0,6
AMT_REQ_CREDIT_BUREAU_DAY,0,6
AMT_REQ_CREDIT_BUREAU_HOUR,0,6
AMT_REQ_CREDIT_BUREAU_MON,0,6
AMT_REQ_CREDIT_BUREAU_QRT,0,6
AMT_REQ_CREDIT_BUREAU_WEEK,0,6
AMT_REQ_CREDIT_BUREAU_YEAR,0,6
APARTMENTS_MODE,0,6
APR_AMT_APPLICATION_MIN,0,6
APR_AMT_DOWN_PAYMENT_MIN,0,6
APR_APP_CREDIT_PERC_MIN,0,6
REF_AMT_GOODS_PRICE_MIN,0,6
APR_HOUR_APPR_PROCESS_START_MIN,0,6
REF_AMT_DOWN_PAYMENT_MIN,0,6
BURO_AMT_ANNUITY_MEAN,0,6
BURO_CREDIT_CURRENCY_currency 2_MEAN,0,6
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,0,6
BURO_CNT_CREDIT_PROLONG_SUM,0,6
REF_AMT_APPLICATION_MAX,0,6
BURO_CREDIT_ACTIVE_Bad debt_MEAN,0,6
BURO_CREDIT_ACTIVE_nan_MEAN,0,6
PREV_WEEKDAY_APPR_PROCESS_START_nan_MEAN,0,6
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,0,6
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,0,6
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,0,6
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,0,6
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,0,6
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,0,6
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,0,6
AMT_INCOME_TOTAL,0,6
REF_RATE_DOWN_PAYMENT_MEAN,0,6
REF_RATE_DOWN_PAYMENT_MIN,0,6
ACT_MONTHS_BALANCE_SIZE_SUM,0,6
YEARS_BUILD_MEDI,0,6
ACT_AMT_CREDIT_SUM_DEBT_MEAN,0,6
ACT_AMT_CREDIT_SUM_LIMIT_SUM,0,6
ACT_AMT_CREDIT_SUM_MAX,0,6
ACT_CNT_CREDIT_PROLONG_SUM,0,6
WEEKDAY_APPR_PROCESS_START_nan,0,6
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0,6
WEEKDAY_APPR_PROCESS_START_TUESDAY,0,6
WEEKDAY_APPR_PROCESS_START_THURSDAY,0,6
WEEKDAY_APPR_PROCESS_START_SUNDAY,0,6
WEEKDAY_APPR_PROCESS_START_SATURDAY,0,6
WEEKDAY_APPR_PROCESS_START_MONDAY,0,6
WEEKDAY_APPR_PROCESS_START_FRIDAY,0,6
WALLSMATERIAL_MODE_nan,0,6
WALLSMATERIAL_MODE_Wooden,0,6
"WALLSMATERIAL_MODE_Stone, brick",0,6
ACT_CREDIT_DAY_OVERDUE_MAX,0,6
WALLSMATERIAL_MODE_Others,0,6
WALLSMATERIAL_MODE_Monolithic,0,6
WALLSMATERIAL_MODE_Mixed,0,6
WALLSMATERIAL_MODE_Block,0,6
ACT_CREDIT_DAY_OVERDUE_MEAN,0,6
REG_REGION_NOT_WORK_REGION,0,6
